Nosferatu,2024,Cast & crew,"A gothic tale of obsession between a haunted young woman and the terrifying vampire infatuated with her, causing untold horror in its wake."
Babygirl,2024,Cast & crew,A high-powered CEO puts her career and family on the line when she begins a torrid affair with her much-younger intern.
Emilia Pérez,2024,Cast & crew,"Emilia Pérez follows four remarkable women in Mexico, each pursuing their own happiness. Cartel leader Emilia enlists Rita, an unappreciated lawyer, to help fake her death so that she can fi... Read all"
Acompanhante Perfeita,2025,Cast & crew,A billionaire's death sets off a chain of events for Iris and her friends during a weekend trip to his lakeside estate.
O Brutalista,2024,Cast & crew,"When a visionary architect and his wife flee post-war Europe in 1947 to rebuild their legacy and witness the birth of modern United States, their lives are changed forever by a mysterious, w... Read all"
Sonic 3: O Filme,2024,Cast & crew,"Sonic, Knuckles, and Tails reunite against a powerful new adversary, Shadow, a mysterious villain with powers unlike anything they have faced before. With their abilities outmatched, Team So... Read all"
Anora,2024,Cast & crew,"A young escort from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to ge... Read all"
A Substância,2024,Cast & crew,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself."
Mufasa: O Rei Leão,2024,Cast & crew,"Mufasa, a cub lost and alone, meets a sympathetic lion named Taka, the heir to a royal bloodline. The chance meeting sets in motion an expansive journey of a group of misfits searching for t... Read all"
Wicked,2024,Cast & crew,"Elphaba, a misunderstood young woman because of her green skin, and Galinda, a popular girl, become friends at Shiz University in the Land of Oz. After an encounter with the Wonderful Wizard... Read all"
Pushpa: The Rule - Part 2,2024,Cast & crew,Pushpa is become the head of red sandal smuggling syndicate and rules the whole state .While Bhawar Singh Shekhawat is waiting for revenge on Pushpa for insulting him. Pushpa happily married... Read all
A Verdadeira Dor,2024,Cast & crew,"Mismatched cousins reunite for a tour through Poland to honor their beloved grandmother, but their old tensions resurface against the backdrop of their family history."
Conclave,2024,Cast & crew,"When Cardinal Lawrence is tasked with leading one of the world's most secretive and ancient events, selecting a new Pope, he finds himself at the center of a conspiracy that could shake the ... Read all"
Gladiador II,2024,Cast & crew,"After his home is conquered by the tyrannical emperors who now lead Rome, Lucius is forced to enter the Colosseum and must look to his past to find strength to return the glory of Rome to it... Read all"
Jurado Nº 2,2024,Cast & crew,"While serving as a juror in a high-profile murder trial, a family man finds himself struggling with a serious moral dilemma, one he could use to sway the jury verdict and potentially convict... Read all"
Flow,2024,Cast & crew,"Cat is a solitary animal, but as its home is devastated by a great flood, he finds refuge on a boat populated by various species, and will have to team up with them despite their differences... Read all"
Um Homem Diferente,2024,Cast & crew,"An aspiring actor undergoes a radical medical procedure to drastically transform his appearance, but his new dream face quickly turns into a nightmare."
Um Completo Desconhecido,2024,Cast & crew,"In 1961, an unknown 19-year-old Bob Dylan arrives in New York City with his guitar and forges relationships with music icons on his meteoric rise, culminating in a groundbreaking performance... Read all"
Better Man: A História de Robbie Williams,2024,Cast & crew,"The meteoric rise, dramatic fall, and remarkable resurgence of British pop superstar Robbie Williams."
Bagagem de Risco,2024,Cast & crew,A mysterious traveler blackmails a young TSA agent into letting a dangerous package slip through security and onto a Christmas Eve flight.
Horizon: Uma Saga Americana - Capítulo 1,2024,Cast & crew,"Chronicles a multi-faceted, 15-year span of pre-and post-Civil War expansion and settlement of the American west."
Love Me,2024,Cast & crew,A postapocalyptic romance in which a buoy and a satellite meet online and fall in love after the end of human civilization.
Herege,2024,Cast & crew,Two young religious women are drawn into a game of cat-and-mouse in the house of a strange man.
The Last Showgirl,2024,Cast & crew,A seasoned showgirl must plan for her future when her show abruptly closes after a 30-year run.
Número 24,2024,Cast & crew,"Young apprentice Gunnar Sønsteby from Rjukan decides to resist Nazi-Germany on the day of the invasion to later become the leader of the ""Oslo-gang"" carrying out countless daring acts of sab... Read all"
